Seq,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeoBks,ItalCook,ItalAtlas,ItalArt,Related purchase,Florence
1,1,458,14,11,54,2,0,3,2,0,1,2,0,0,0,3,?
2,1,418,34,11,64,1,1,2,0,2,0,0,0,0,0,0,?
3,1,395,6,12,74,1,1,4,0,1,0,0,0,0,0,0,?
4,1,384,14,11,70,1,3,0,1,1,4,1,0,0,0,5,?
5,0,369,16,6,40,1,0,3,0,1,0,1,1,1,0,3,?
6,1,368,6,9,42,1,2,1,0,1,0,1,0,0,0,1,?
7,1,366,34,6,56,1,1,2,0,0,0,2,1,0,0,3,?
8,1,350,4,5,16,0,0,2,0,0,0,0,1,0,0,1,?
9,1,343,8,12,68,3,1,2,1,1,0,2,0,0,0,2,?
10,0,335,4,11,54,4,1,3,0,0,0,0,0,0,1,1,?
11,0,334,8,12,62,3,2,2,1,1,0,0,0,0,0,0,?
12,1,330,16,5,42,0,0,1,0,0,2,2,0,0,0,4,?
13,1,327,14,7,52,0,0,1,2,0,1,1,0,0,0,2,?
14,0,324,14,2,22,1,0,0,0,0,0,0,0,0,0,0,?
15,1,322,14,2,22,1,0,0,0,1,0,0,0,1,0,1,?
16,1,320,8,9,30,1,1,3,0,0,1,2,0,0,0,3,?
17,1,314,10,1,10,0,0,0,0,0,0,0,0,0,0,0,?
18,0,310,6,11,68,2,0,3,2,0,0,0,0,0,0,0,?
19,1,308,36,6,50,1,1,1,1,1,0,0,0,0,0,0,?
20,0,303,22,8,54,3,0,0,0,1,0,0,0,0,1,1,?
21,0,299,2,1,2,0,0,0,0,0,0,1,0,0,0,1,?
22,1,296,14,1,14,0,0,1,0,0,0,0,0,0,0,0,?
23,1,294,12,12,70,2,3,2,0,1,1,2,1,0,0,4,?
24,0,291,6,1,6,0,0,0,0,0,0,1,0,0,0,1,?
25,1,285,10,2,14,0,1,0,0,0,1,0,1,0,0,2,?
26,1,281,16,6,40,1,1,2,0,1,0,2,0,0,0,2,?
27,0,279,20,6,44,0,1,0,0,2,1,2,0,1,1,5,?
28,1,279,8,2,14,1,0,0,0,0,2,0,0,0,0,2,?
29,0,277,30,11,78,2,0,1,1,2,2,3,0,0,0,5,?
30,0,273,4,2,6,0,0,0,0,0,0,0,0,0,0,0,?
31,1,271,12,2,18,0,0,0,0,0,5,0,0,0,0,5,?
32,0,269,10,2,18,0,0,1,0,0,0,0,0,0,0,0,?
33,0,268,12,7,46,0,0,2,1,1,2,0,1,0,0,3,?
34,1,266,10,1,10,0,0,0,0,0,0,0,0,0,0,0,?
35,1,265,30,11,52,3,1,4,1,0,0,0,0,0,0,0,?
36,0,259,16,2,20,0,1,0,1,0,0,1,0,0,0,1,?
37,0,253,2,1,2,0,0,0,0,0,0,0,0,0,0,0,?
38,1,251,16,1,16,0,0,1,0,0,0,0,0,0,0,0,?
39,0,250,6,2,14,0,0,0,1,0,0,0,0,0,0,0,?
40,1,247,14,12,64,2,0,2,1,1,0,5,1,0,0,6,?
41,0,240,14,2,20,0,0,1,0,0,0,0,0,0,0,0,?
42,0,239,16,2,24,0,0,2,0,0,0,2,0,0,0,2,?
43,1,235,12,11,36,3,2,2,2,0,0,1,0,0,0,1,?
44,1,231,2,3,8,0,0,0,0,0,0,0,0,0,0,0,?
45,1,226,12,2,16,1,0,0,0,0,1,0,0,0,0,1,?
46,1,225,2,10,52,5,1,2,0,0,0,0,0,0,0,0,?
47,1,220,16,3,24,1,0,2,0,0,0,0,1,0,0,1,?
48,0,215,2,6,16,0,0,1,0,0,0,0,0,0,0,0,?
49,1,215,20,9,52,0,1,3,1,0,0,0,1,2,0,3,?
50,1,208,12,1,12,0,0,0,0,0,0,0,0,0,0,0,?
51,1,206,14,4,28,0,0,2,0,1,1,0,0,0,0,1,?
52,0,202,10,4,26,0,1,0,0,0,0,0,0,0,0,0,?
53,0,199,6,1,6,0,0,0,0,0,0,0,0,0,0,0,?
54,1,196,30,6,60,1,1,1,0,1,0,0,0,0,0,0,?
55,1,195,6,2,10,0,0,0,0,0,0,0,0,0,0,0,?
56,0,190,8,2,14,1,0,0,0,0,0,1,0,0,0,1,?
57,0,189,20,1,20,0,0,0,0,0,0,1,0,0,0,1,?
58,1,185,30,1,30,0,0,1,0,0,0,0,0,0,0,0,?
59,1,184,4,1,4,0,0,0,0,0,0,0,0,0,0,0,?
60,1,178,26,2,28,0,0,0,1,1,0,0,0,0,0,0,?
61,1,173,14,11,56,1,0,6,2,0,0,0,0,0,0,0,?
62,0,172,14,7,36,0,0,0,0,1,2,3,0,0,0,5,?
63,1,167,10,1,10,0,0,0,0,0,0,0,0,0,0,0,?
64,0,166,14,2,16,0,1,0,0,0,0,0,0,0,0,0,?
65,1,164,14,2,20,0,0,0,1,0,1,0,0,0,0,1,?
66,0,159,20,2,24,0,0,0,1,0,1,0,0,0,0,1,?
67,1,154,10,7,46,0,1,0,1,0,1,3,0,0,0,4,?
68,0,153,36,2,42,0,1,1,0,0,0,0,0,0,0,0,?
69,1,148,2,1,2,0,0,0,0,0,0,0,0,0,0,0,?
70,0,148,16,1,16,0,0,1,0,0,0,0,0,0,0,0,?
71,1,145,10,1,10,0,0,0,0,0,1,0,1,0,0,2,?
72,1,140,2,1,2,0,0,0,0,0,0,0,0,0,0,0,?
73,1,140,10,2,14,0,1,0,0,0,0,0,0,0,0,0,?
74,1,134,10,2,12,0,0,0,0,0,0,0,0,0,0,0,?
75,1,132,16,6,30,2,1,0,1,0,1,1,0,0,0,2,?
76,0,130,22,2,24,1,1,0,0,0,0,0,0,0,0,0,?
77,1,128,12,1,12,0,0,0,0,0,1,0,0,0,0,1,?
78,1,127,14,2,22,2,0,0,0,0,0,0,0,0,1,1,?
79,0,122,10,2,18,1,0,0,0,0,0,0,0,0,0,0,?
80,1,120,2,3,20,1,0,0,0,0,0,0,0,0,0,0,?
81,0,112,24,2,32,0,0,0,0,0,0,1,0,0,0,1,?
82,0,110,8,2,14,0,0,1,0,0,0,0,0,0,0,0,?
83,1,104,16,1,16,1,0,0,0,0,0,0,0,0,0,0,?
84,0,98,18,1,18,0,0,0,0,0,0,0,1,0,0,1,?
85,1,91,24,6,56,2,0,1,1,1,0,0,0,0,0,0,?
86,0,87,16,1,16,0,0,1,0,0,0,0,1,0,0,1,?
87,1,83,14,1,14,0,1,0,0,0,2,0,0,0,0,2,?
88,0,81,16,1,16,0,0,0,1,0,0,0,0,0,0,0,?
89,0,78,8,2,12,0,0,0,0,0,1,0,0,0,0,1,?
90,1,75,10,4,18,0,0,0,0,0,0,0,1,0,0,1,?
91,1,67,4,4,14,0,0,1,0,0,0,0,0,0,0,0,?
92,1,66,14,2,22,2,0,0,0,0,1,0,2,0,0,3,?
93,1,60,30,2,38,1,0,1,0,0,0,0,0,0,0,0,?
94,1,59,16,1,16,0,0,0,1,0,0,0,0,0,0,0,?
95,1,49,34,1,34,0,0,1,0,0,0,0,0,0,0,0,?
96,1,43,2,2,4,0,0,0,0,0,0,0,0,0,0,0,?
97,0,37,10,1,10,0,0,0,0,0,4,0,0,0,0,4,?
98,1,33,6,1,6,0,0,0,0,0,0,0,1,0,0,1,?
99,1,26,12,1,12,0,0,0,0,0,1,0,0,0,0,1,?
100,0,20,10,1,10,0,0,0,0,0,0,0,0,0,0,0,?
